experiment_id,accuracy,hidden_size,num_layers,dropout_rate,learning_rate
102,0.8736842105263158,256,4,0.2,0.001
85,0.871578947368421,256,3,0.1,0.001
90,0.8713157894736843,256,3,0.2,0.001
101,0.8710526315789474,256,4,0.2,0.001
97,0.8676315789473684,256,4,0.1,0.001
93,0.8639473684210527,256,3,0.3,0.001
61,0.8631578947368421,128,4,0.1,0.001
86,0.8626315789473684,256,3,0.1,0.001
106,0.8586842105263158,256,4,0.3,0.001
94,0.8571052631578947,256,3,0.3,0.001
107,0.8536842105263158,256,4,0.3,0.0001
89,0.8518421052631578,256,3,0.2,0.001
66,0.8505263157894737,128,4,0.2,0.001
82,0.8478947368421053,256,2,0.3,0.001
74,0.8478947368421053,256,2,0.1,0.001
95,0.8457894736842105,256,3,0.3,0.0001
53,0.8455263157894737,128,3,0.2,0.001
103,0.845,256,4,0.2,0.0001
54,0.845,128,3,0.2,0.001
98,0.8444736842105263,256,4,0.1,0.001
58,0.8439473684210527,128,3,0.3,0.001
50,0.8426315789473684,128,3,0.1,0.001
49,0.8423684210526315,128,3,0.1,0.001
91,0.8423684210526315,256,3,0.2,0.0001
100,0.8410526315789474,256,4,0.1,0.0001
105,0.8397368421052631,256,4,0.3,0.001
99,0.838421052631579,256,4,0.1,0.0001
73,0.838421052631579,256,2,0.1,0.001
70,0.8381578947368421,128,4,0.3,0.001
77,0.8371052631578947,256,2,0.2,0.001
104,0.8368421052631579,256,4,0.2,0.0001
78,0.8368421052631579,256,2,0.2,0.001
62,0.8363157894736842,128,4,0.1,0.001
96,0.8360526315789474,256,3,0.3,0.0001
67,0.8339473684210527,128,4,0.2,0.0001
45,0.8326315789473684,128,2,0.3,0.001
41,0.8315789473684211,128,2,0.2,0.001
37,0.8305263157894737,128,2,0.1,0.001
81,0.8302631578947368,256,2,0.3,0.001
108,0.8289473684210527,256,4,0.3,0.0001
64,0.8289473684210527,128,4,0.1,0.0001
92,0.8281578947368421,256,3,0.2,0.0001
87,0.8271052631578948,256,3,0.1,0.0001
42,0.8252631578947368,128,2,0.2,0.001
51,0.8231578947368421,128,3,0.1,0.0001
65,0.8226315789473684,128,4,0.2,0.001
88,0.8213157894736842,256,3,0.1,0.0001
63,0.8210526315789474,128,4,0.1,0.0001
46,0.8205263157894737,128,2,0.3,0.001
26,0.8184210526315789,64,4,0.1,0.001
55,0.8165789473684211,128,3,0.2,0.0001
57,0.8147368421052632,128,3,0.3,0.001
68,0.8115789473684211,128,4,0.2,0.0001
38,0.8113157894736842,128,2,0.1,0.001
52,0.81,128,3,0.1,0.0001
59,0.81,128,3,0.3,0.0001
13,0.8089473684210526,64,3,0.1,0.001
56,0.8086842105263158,128,3,0.2,0.0001
83,0.8060526315789474,256,2,0.3,0.0001
25,0.8034210526315789,64,4,0.1,0.001
84,0.8031578947368421,256,2,0.3,0.0001
79,0.8018421052631579,256,2,0.2,0.0001
18,0.7997368421052632,64,3,0.2,0.001
60,0.7971052631578948,128,3,0.3,0.0001
14,0.7952631578947369,64,3,0.1,0.001
80,0.795,256,2,0.2,0.0001
1,0.7947368421052632,64,2,0.1,0.001
75,0.7897368421052632,256,2,0.1,0.0001
71,0.7889473684210526,128,4,0.3,0.0001
69,0.7881578947368421,128,4,0.3,0.001
47,0.7876315789473685,128,2,0.3,0.0001
5,0.783157894736842,64,2,0.2,0.001
43,0.7828947368421053,128,2,0.2,0.0001
76,0.78,256,2,0.1,0.0001
44,0.7794736842105263,128,2,0.2,0.0001
39,0.7792105263157895,128,2,0.1,0.0001
30,0.7784210526315789,64,4,0.2,0.001
40,0.7736842105263158,128,2,0.1,0.0001
15,0.7681578947368422,64,3,0.1,0.0001
48,0.766578947368421,128,2,0.3,0.0001
6,0.7657894736842106,64,2,0.2,0.001
2,0.7602631578947369,64,2,0.1,0.001
27,0.7521052631578947,64,4,0.1,0.0001
9,0.7418421052631579,64,2,0.3,0.001
3,0.7373684210526316,64,2,0.1,0.0001
7,0.7368421052631579,64,2,0.2,0.0001
29,0.7347368421052631,64,4,0.2,0.001
72,0.7339473684210527,128,4,0.3,0.0001
16,0.7310526315789474,64,3,0.1,0.0001
19,0.7286842105263158,64,3,0.2,0.0001
28,0.7265789473684211,64,4,0.1,0.0001
17,0.7205263157894737,64,3,0.2,0.001
4,0.7144736842105263,64,2,0.1,0.0001
11,0.6976315789473684,64,2,0.3,0.0001
8,0.6928947368421052,64,2,0.2,0.0001
20,0.69,64,3,0.2,0.0001
31,0.6813157894736842,64,4,0.2,0.0001
22,0.6805263157894736,64,3,0.3,0.001
10,0.6771052631578948,64,2,0.3,0.001
12,0.6689473684210526,64,2,0.3,0.0001
23,0.6639473684210526,64,3,0.3,0.0001
34,0.6586842105263158,64,4,0.3,0.001
32,0.615,64,4,0.2,0.0001
24,0.6026315789473684,64,3,0.3,0.0001
33,0.593421052631579,64,4,0.3,0.001
35,0.5260526315789473,64,4,0.3,0.0001
21,0.5242105263157895,64,3,0.3,0.001
36,0.48447368421052633,64,4,0.3,0.0001
